company_id,ten_cong_ty,nganh,quarter,is_demo,current_ratio,quick_ratio,cash_ratio,de_ratio,da_ratio,interest_coverage,asset_turnover,receivable_days,cfo_debt,cfo_margin,cf_volatility,gdp_growth,lending_rate,cpi,working_capital_ratio,cfo_margin_smooth,de_ratio_smooth,asset_turnover_smooth,cfo_debt_smooth,quick_ratio_smooth,working_capital_ratio_smooth,z_score,default_label,pd_score
DXG,DXG,Bat dong san,2026-Q1,False,2.342546928392756,1.2640325106750723,0.12268811808395039,0.8242838061818681,0.4518396772413672,4.912788037503069,0.1405501377973596,113.2608974984386,0.02902235096130504,0.37320346736474297,0.8276627227883814,7.5,8.8,4.0,0.5109718202372694,0.05858452245165936,0.8025791066689216,0.12674618392216205,0.008469129741754587,1.4045095519428474,0.5542411323586245,3.159736257869411,0,0.2125
EVE,EVE,San xuat,2025-Q2,False,3.3290527018888376,2.128355285652086,0.14567616916263798,0.34271021292973813,0.25523766009194093,4.768157986230925,0.5986228172726816,65.37753050738554,0.01113343823420806,0.018988068223821087,0.12715129492092275,7.1,8.7,3.9,0.40169563109175993,0.018988068223821087,0.34271021292973813,0.5986228172726816,0.01113343823420806,2.128355285652086,0.40169563109175993,4.2032531035950935,0,0.0868
EVE,EVE,San xuat,2025-Q3,False,3.403953257604762,2.2706913806555358,0.17721491257436145,0.33805931893337,0.2526489776274291,8.908460027984862,0.6444073173029083,63.166345461873775,0.02001492015694044,0.03138852697148169,0.12715129492092275,7.6,8.9,4.1,0.41397837751611233,0.025188297597651385,0.3403847659315541,0.6215150672877949,0.015574179195574248,2.199523333153811,0.4078370043039361,4.394137903461569,0,0.0728
EVE,EVE,San xuat,2025-Q4,False,3.347899949330596,2.430606006502397,0.2897868546405646,0.34628329798276347,0.2572142865484743,4.92171974188627,0.6562627422603445,67.36908260460567,0.17601158103840178,0.2759424866030346,0.12715129492092275,7.8,9.1,4.3,0.4142590261253909,0.10877302726611245,0.3423509432819572,0.6330976256119781,0.06905331314318343,2.2765508909366727,0.40997767824442105,4.85656646571015,0,0.0471
EVE,EVE,San xuat,2026-Q1,False,3.8467074423550023,2.680788004503243,0.2913760610989498,0.3074968912941726,0.23517982592662942,1.3229604671241537,0.4820590854738566,60.85013513776065,0.10347033096746559,0.20191827233443146,0.12715129492092275,7.5,8.8,4.0,0.4327434038234456,0.1320593385331922,0.333637430285011,0.5953379905774477,0.07765756759925396,2.3776101693283156,0.4156691096391772,5.024521893281258,0,0.0401
FMC,FMC,San xuat,2025-Q2,False,1.5897288200720265,1.0181248629786077,0.6587169051586652,0.9485930843894438,0.4868092225045888,8.134068069278705,1.6268917766477649,26.112014136226193,-0.10400563263516212,-0.12448498882586252,0.25583345469292035,7.1,8.7,3.9,0.28565481593183917,-0.12448498882586252,0.9485930843894438,1.6268917766477649,-0.10400563263516212,1.0181248629786077,0.28565481593183917,3.0873350035009115,0,0.2249
FMC,FMC,San xuat,2025-Q3,False,1.6159653280340276,1.3382978171690338,0.6189425596293024,0.9523309384566071,0.4877917568675429,8.516228295181232,2.4653297784377246,36.849669953551974,0.02616568135217334,0.020708635068694276,0.25583345469292035,7.6,8.9,4.1,0.29905684011088046,-0.05188817687858412,0.9504620114230254,2.0461107775427445,-0.03891997564149439,1.1782113400738208,0.29235582802135984,4.073388757335766,0,0.0977
FMC,FMC,San xuat,2025-Q4,False,1.722745899032427,1.3222936719471683,0.5247009475303038,0.8492547846551063,0.45924163165731424,11.551053552646733,1.1042173011572556,36.020900988156484,0.2847931251321166,0.47377942487728786,0.25583345469292035,7.8,9.1,4.3,0.33023805317212673,0.12333435704003987,0.9167262691670524,1.7321462854142482,0.06898439128304261,1.2262387840316034,0.3049832364049488,4.6251227017556475,0,0.0587
FMC,FMC,San xuat,2026-Q1,False,1.9658440331542213,1.4180018083175527,0.31623064399722906,0.6730025672301823,0.4022722860159164,4.9772003094782695,1.2544801683396234,28.205962806565655,0.13209631956987367,0.16943651972751142,0.25583345469292035,7.5,8.8,4.0,0.3862019124292741,0.13485989771190776,0.8557953436828348,1.6127297561455922,0.08476237335475037,1.2741795401030906,0.32528790541103014,4.664680513744072,0,0.0565
FPT,FPT,Dich vu,2025-Q2,False,1.3987978922402382,1.3437571513452258,0.26589119649666926,1.0381340021247694,0.509355126327566,15.490744642598786,0.8182855119758707,60.498911341877005,0.10123565401848483,0.2520631177591208,0.23319697160981948,7.1,8.7,3.9,0.18492317289408094,0.2520631177591208,1.0381340021247694,0.8182855119758707,0.10123565401848483,1.3437571513452258,0.18492317289408094,3.934741238968377,0,0.1106
FPT,FPT,Dich vu,2025-Q3,False,1.478064156758498,1.4215597702065834,0.27155166164755856,0.9317602816018244,0.48233742585762485,15.447711664135891,0.8317560404344453,59.92077621610328,0.10885145577511772,0.2524929350774623,0.23319697160981948,7.6,8.9,4.1,0.20966125523366896,0.25227802641829156,0.9849471418632969,0.825020776205158,0.10504355489680128,1.3826584607759047,0.19729221406387495,4.146737361408335,0,0.0914
FPT,FPT,Dich vu,2025-Q4,False,1.4000611210004246,1.3472309327280625,0.2533925055147049,1.014764321521835,0.5036640319078816,17.92140423901294,0.9178576302982377,56.666925075071475,0.09254527913617461,0.20313271638269476,0.23319697160981948,7.8,9.1,4.3,0.18847440618929778,0.23589625640642597,0.9948862017494763,0.8559663942361846,0.10087746297659239,1.3708492847599574,0.19435294477234924,4.089593730523198,0,0.0963
FPT,FPT,Dich vu,2026-Q1,False,1.616112524374696,1.573515817266072,0.311080725806343,0.7094370238394878,0.4150120852338005,16.62367888956568,0.7278441640893617,73.379549127198,-0.10004946222691694,-0.22819025277073068,0.23319697160981948,7.5,8.8,4.0,0.23082989517299882,0.1198746291121368,0.9235239072719792,0.8239358366994789,0.05064573167571505,1.4215159178864858,0.20347218237251163,3.805027764391684,0,0.124
FRT,FRT,Thuong mai,2025-Q2,False,1.1007432312464427,0.4534634664644761,0.15935438852679001,4.426781643270004,0.8157287199421143,3.206551752029372,2.4860568413007695,1.6113424000320742,0.03326581203872007,0.04366091365470453,0.10975435295864996,7.1,8.7,3.9,0.08217610619653327,0.04366091365470453,4.426781643270004,2.4860568413007695,0.03326581203872007,0.4534634664644761,0.08217610619653327,3.0462035510255046,0,0.2322
FRT,FRT,Thuong mai,2025-Q3,False,1.1080849265230217,0.4536471429535532,0.07237442786128634,4.408176851224103,0.815094804125413,4.253201425203387,2.6616603466760878,1.4329023078210512,0.05634760059120812,0.06902253553753994,0.10975435295864996,7.6,8.9,4.1,0.08809650953374513,0.05634172459612223,4.417479247247053,2.5738585939884286,0.0448067063149641,0.4535553047090146,0.0851363078651392,3.245922257039555,0,0.1985
FRT,FRT,Thuong mai,2025-Q4,False,1.1729565983563297,0.5308569472771867,0.1545051404418659,3.6144989212937495,0.7832917469358441,4.8978150097697375,2.515410820629531,1.4067289361408917,0.010904342082510142,0.013582323951135405,0.10975435295864996,7.8,9.1,4.3,0.13547043502860853,0.0420885910477933,4.149819138595952,2.5543760028687963,0.03350591823747944,0.4793225188984053,0.10191435025296232,3.206234480384661,0,0.2049
FRT,FRT,Thuong mai,2026-Q1,False,1.1759301315719648,0.47160119951562784,0.031439243706365375,3.720305456736884,0.7881493032251151,4.148912406300303,2.3232509094945155,1.4040419775313373,-0.1272612035662611,-0.17269048040990342,0.10975435295864996,7.5,8.8,4.0,0.1386545385842155,-0.011606176816630884,4.042440718131185,2.496594729525226,-0.006685862213455695,0.47739218905271097,0.11109939733577562,2.919948819538769,0,0.2554
GIL,GIL,San xuat,2025-Q2,False,7.706219858484911,3.1308047552858316,0.9027329208710783,0.40464045873460885,0.28807404501158623,-8.41491567914968,0.14840592920689377,32.14519072903479,-0.21063259585349323,-1.6354544383254426,0.48760603731259894,7.1,8.7,3.9,0.7457219113761127,-1.6354544383254426,0.40464045873460885,0.14840592920689377,-0.21063259585349323,3.1308047552858316,0.7457219113761127,-0.5389361160180688,1,0.916
