quarter,tsnh,no_nh,no_phai_tra,tong_ts,vcsh,hang_ton_kho,phai_thu_kh,tien,doanh_thu,ebt,lai_vay,lnst,cfo,ticker,nganh
2026-Q1,37310715130000.0,3394096620000.0,18337716752000.0,39861897315000.0,21524180563000.0,29125945475000.0,1249625148000.0,3613808683000.0,281361228000.0,355653178000.0,-5581265000.0,327045031000.0,-633698923000.0,KDH,Bat dong san
2025-Q4,31619143989000.0,3515423431000.0,12909740367000.0,34074020087000.0,21164279720000.0,23260015942000.0,1262041715000.0,2544284739000.0,1793648861000.0,983473798000.0,0.0,785790345000.0,1270381506000.0,KDH,Bat dong san
2025-Q3,30594374778000.0,3380942744000.0,12703074873000.0,33080867528000.0,20377792655000.0,23086435547000.0,986589852000.0,2378235792000.0,1098244194000.0,653535136000.0,0.0,525903525000.0,-712761224000.0,KDH,Bat dong san
2025-Q2,29318561512000.0,3515554125000.0,11546172727000.0,31254518576000.0,19708345849000.0,23007410442000.0,111360648000.0,2460274084000.0,1049326533000.0,245395238000.0,0.0,196276357000.0,-1265721035000.0,KDH,Bat dong san
2026-Q1,57181302658128.0,13178472061671.0,44843061380027.0,71803161764011.0,26960100383984.0,29521066384305.0,1232760783077.0,6930682750598.0,1335907334634.0,318531555945.0,-262841601560.0,234256566861.0,-2913286566406.0,KBC,Bat dong san
2025-Q4,55045529492865.0,11947551940878.0,42855329949506.0,69581173766629.0,26725843817123.0,27073127740837.0,1264873556149.0,8368534552023.0,1648413576274.0,844849789907.0,-262393448885.0,645596488642.0,-2128137617120.0,KBC,Bat dong san
2025-Q3,57193595747504.0,13623064082157.0,40494096357405.0,66557421957593.0,26063325600188.0,25091218193539.0,1432765498104.0,9418578135962.0,1347287386541.0,427621622817.0,-211315908978.0,311925875998.0,-7146115037293.0,KBC,Bat dong san
2025-Q2,61006286667575.0,15587212245659.0,44663619525269.0,70363090646188.0,25699471120919.0,23651747527329.0,1722778767250.0,18138916467312.0,574562870574.0,532278978841.0,-103716422811.0,401527644897.0,-797117446564.0,KBC,Bat dong san
2026-Q1,17915356777738.0,5928131481948.0,10983801528251.0,25894096680611.0,14910295152360.0,8381456484953.0,851595448650.0,5027834155469.0,1279401152222.0,176956839638.0,-86429252957.0,109516870300.0,-519058317030.0,NLG,Bat dong san
2025-Q4,19246030470379.0,6453837316303.0,11740271874301.0,26564516185390.0,14824244311089.0,8677574019548.0,1043055344239.0,6814304742347.0,1704152132207.0,566934819572.0,1504574311.0,504868412213.0,371324345365.0,NLG,Bat dong san
2025-Q3,24963680498828.0,7004199714135.0,14019913658667.0,28386978996115.0,14367065337448.0,17851636256902.0,1208076751196.0,3361201735548.0,1877218621324.0,329848785575.0,-131343737460.0,234048067926.0,-437039624760.0,NLG,Bat dong san
2025-Q2,25162788098987.0,7022559566607.0,13995267253920.0,28214084330254.0,14218817076334.0,17901843085344.0,1271165865887.0,3514680781879.0,772555911115.0,149077325352.0,-35713417510.0,97537781984.0,128934018438.0,NLG,Bat dong san
2026-Q1,3485552998996.0,2108017502605.0,6132093643113.0,14447483470196.0,8315389827083.0,772356434474.0,1485443032155.0,290014872498.0,683899890865.0,123812057062.0,-73896341266.0,103968643391.0,105217217023.0,HDG,Bat dong san
2025-Q4,3621267664514.0,2185537567213.0,6287507448282.0,14685890149474.0,8398382701192.0,768889297109.0,1609991922773.0,265730670677.0,885681351655.0,442357390115.0,-76946364695.0,422657353573.0,456825878353.0,HDG,Bat dong san
2025-Q3,3237267157740.0,2102332882932.0,6412907662309.0,14480854004778.0,8067946342469.0,781472681383.0,1505762254569.0,243271470988.0,712510058366.0,358977124700.0,-72303084789.0,336656224977.0,189816584661.0,HDG,Bat dong san
2025-Q2,2970525103454.0,2167551186953.0,6596478392411.0,14327778433462.0,7731300041051.0,773936116996.0,1303043959381.0,330030990708.0,589767169651.0,39925760339.0,-75067165973.0,27213966184.0,257730483246.0,HDG,Bat dong san
2026-Q1,4595507618130.0,1660176690382.0,2342921933538.0,8880324350812.0,6537402417274.0,1474343983171.0,678732042738.0,432335303180.0,432471859834.0,113471261949.0,-8794363458.0,94034744501.0,-379658642029.0,CEO,Bat dong san
2025-Q4,4575498519600.0,1647045334718.0,2288400405019.0,8730058235233.0,6441657830214.0,1469478625997.0,646198512371.0,780987360496.0,349093544917.0,50803071881.0,-6184290318.0,57982360195.0,108187566112.0,CEO,Bat dong san
2025-Q3,4508721944127.0,1535143861705.0,2189932558275.0,8574529058403.0,6384596500128.0,1403967568224.0,644677053447.0,761575442648.0,241946512689.0,60170176954.0,-6508676929.0,52249345271.0,-113698856676.0,CEO,Bat dong san
2025-Q2,4647208570673.0,1648033281645.0,2308123205145.0,8653235770254.0,6345112565109.0,1374093027702.0,637573148735.0,978575916727.0,421278877877.0,55195115597.0,-6552975360.0,39615779748.0,-67409038789.0,CEO,Bat dong san
2026-Q1,669086072000000.0,626455564000000.0,1024990928000000.0,1178694748000000.0,153703820000000.0,217153958000000.0,36575948000000.0,54750360000000.0,104352018000000.0,11536718000000.0,-7522882000000.0,5610779000000.0,26509936000000.0,VIC,Bat dong san
2025-Q4,658772464000000.0,587454564000000.0,967133690000000.0,1118622625000000.0,151488935000000.0,201580276000000.0,35747342000000.0,73542242000000.0,162226620000000.0,11254075000000.0,-6416020000000.0,3499674000000.0,-9444422000000.0,VIC,Bat dong san
